wp,config,fluid_hp,fluid_he,eta_P2P,E_dens_th,eta_II,T_st_ht,dT_st_sp,T_st_lt,T_hp_cs,T_he_cs,dT_hp_cs_gl,dT_hp_ev_sh,dT_he_ev_sh,dT_hp_cd_sc,eta_max_cp,eta_max_ex,eta_pm,dT_HP_rel,dT_ORC,dT_TES_rel_sp
DC-F,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.16474895785939636,42.151639369086084,0.09883718346960672,123.73293226055326,74.87113432192112,48.86179793863214,75.0,25.0,14.476021790875258,7.7434701799311245,1.4879501335764955,8.5195487806915,0.7300228551981274,0.8194841459491993,0.7088465378526019,0.49358335810333787,98.73293226055326,0.7583197683660243
DC-F,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.3998834878241649,24.9159997299593,0.14544690702618587,111.6569191202986,44.23147043874074,67.42544868155785,75.0,25.0,9.918762796646337,9.952329826277186,6.417687077608883,20.33232963973539,0.7942657976949078,0.7939207495065859,0.6610965752841627,0.42301202826528883,86.6569191202986,0.5104205283058572
DC-F,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.21108058959439713,40.23263932560496,0.11695749225395606,126.79309933966685,71.59558495970248,55.197514379964375,75.0,25.0,10.818912306848318,4.5987779472517225,2.096047019790853,8.471461022032702,0.6527106284935801,0.8026835649468226,0.5316800655335309,0.5088075682501992,101.79309933966685,0.7033441895781144
DC-F,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.35393230620148675,32.63838531437551,0.12520184224201686,126.01733589373156,58.18554911679428,67.83178677693728,75.0,25.0,7.0031979079201,4.326283133608273,4.222805655489861,23.88366859494148,0.7630313859611221,0.7773918729765412,0.6075524768041245,0.5050354520079691,101.01733589373156,0.5759956803652438
DC-F,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.4570669622487266,15.034901740047628,0.08787493299346859,95.6194394206137,26.582427539492137,69.03701188112157,75.0,25.0,6.746817817413232,9.656890353749958,1.0576934450563438,23.100651158453278,0.8258022259780107,0.6799349943203392,0.7255406650707217,0.2919796530499635,70.6194394206137,0.3764179913857086
DC-F,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.43330059001784876,21.122964907654932,0.15646622099032603,104.62591012675682,37.42321390114218,67.20269622561464,75.0,25.0,10.781961628511372,3.1473844568677167,6.114239909740435,24.03324600365856,0.7564147060694452,0.8472174945183426,0.6709754683765994,0.37206369232822845,79.62591012675682,0.46998789516588263
DC-F,SBVCHP_SBORC,R1233zd(E),R1234ze(E),0.1971146063589034,41.149717425378576,0.1167804196595231,124.51014655361749,73.13504200145066,51.37510455216683,75.0,25.0,15.909125259484615,12.552868686807402,3.789121680746549,13.311728721240662,0.7928622522975162,0.760429442873267,0.6900664888559758,0.4975386758870937,99.51014655361749,0.7349506008620382
DC-F,SBVCHP_SBORC,R1233zd(E),R227ea,0.38216564955752624,29.406407626642245,0.15984396653197527,111.86868635968226,52.13484496424505,59.73384139543721,75.0,25.0,12.801706934317677,10.694410649799838,2.8798784437826632,27.399978511492375,0.8212568192084168,0.7964939556458791,0.6764582999880312,0.4244186012785599,86.86868635968226,0.6001569397329118
DC-F,SBVCHP_SBORC,R1233zd(E),R227ea,0.42010727623391064,18.716992588563393,0.22709830727960714,112.28269599187567,33.30674249312453,78.97595349875114,75.0,25.0,17.324602685417183,9.374765040633253,7.66048611062346,27.185601213282155,0.7860033510942642,0.8385070522412176,0.6130032208294403,0.42714876721207107,87.28269599187567,0.3815961699467297
DC-F,SBVCHP_SBORC,R1233zd(E),R227ea,0.19727501719573687,42.1443805800661,0.10156263490472683,119.99104443961154,74.73452821139486,45.25651622821668,75.0,25.0,13.35929369234285,11.539030382521872,4.123870792767689,17.960734109406467,0.7168087665239044,0.8216638167741539,0.6901478809820014,0.47363459055567714,94.99104443961154,0.7867534108323831
DC-F,SBVCHP_SBORC,R1233zd(E),R227ea,0.3311141509374292,36.15210064870771,0.15745176585669227,118.15579792427555,64.15342607329704,54.002371850978506,75.0,25.0,13.472468906665437,10.949028882948138,3.1376953184543144,26.6115590819718,0.7910196403149752,0.8456688818295072,0.5210972487112746,0.4632647552367703,93.15579792427555,0.688668096917017
DC-F,SBVCHP_SBORC,R1233zd(E),R227ea,0.43379777649374096,21.204604602938524,0.10123913594027191,108.09569298720423,37.627167545339674,70.46852544186456,75.0,25.0,5.640484560799579,4.46772833283369,9.585887029699126,10.39440110703869,0.7977224434902062,0.8053974302507196,0.628113695564646,0.39828409629245864,83.09569298720423,0.45281730246998264
DC-F,SBVCHP_SBORC,R1233zd(E),R227ea,0.22619097341702324,41.875627682997916,0.08427601227669183,121.32136842845435,74.30627931397314,47.01508911448121,75.0,25.0,8.107703557646962,9.647291429799859,1.1680655918130243,13.275354907828925,0.8344489297356319,0.7432020545607323,0.5386008732436929,0.4809043848132304,96.32136842845435,0.7714412754545363
DC-F,SBVCHP_SBORC,R1233zd(E),R227ea,0.27951864280072486,40.92816756337016,0.10918482164456329,126.05006022334547,72.79574350261271,53.25431672073276,75.0,25.0,7.297664051728062,4.397259501331737,4.964535112705426,11.226193481652526,0.8274246714696397,0.7349997077163564,0.6918027236469145,0.5051957426894381,101.05006022334547,0.7203928759836088
DC-F,SBVCHP_SBORC,R1233zd(E),R227ea,0.30249202730675445,39.527028773714484,0.1430950978413107,122.88644864385557,70.228986209227,52.65746243462857,75.0,25.0,10.393603756222339,10.144295068241368,1.1930674272113357,11.028029555442764,0.7294829357127033,0.8183595047723817,0.6331524298687292,0.4892040656013875,97.88644864385557,0.7174536126521875
DC-F,SBVCHP_SBORC,R1233zd(E),R134a,0.3281257652701747,32.42363396444724,0.20206810363183975,122.32914172875194,57.708090038118115,64.62105169063382,75.0,25.0,18.319576899935786,11.629588753623759,8.776089591621618,20.975886782531155,0.792493669092255,0.8223691660139925,0.7280993166588372,0.48627924677127266,97.32914172875194,0.5929168696354651
DC-F,SBVCHP_SBORC,R1233zd(E),R134a,0.3839215247077804,22.23505776305483,0.18135894646034018,114.84144785558945,39.56604177542812,75.27540608016133,75.0,25.0,13.301511469603142,11.54082140403662,9.063840851157204,15.504526981838861,0.8476114804206858,0.7827989885775057,0.5539123188372693,0.4434640002644473,89.84144785558945,0.4403985323013306
DC-F,SBVCHP_SBORC,R1233zd(E),R134a,0.304325149036991,32.62448756100142,0.18264113000676604,123.4691173610181,58.092594502445046,65.37652285857305,75.0,25.0,17.104744301446836,3.2501296050994912,6.705096284869588,28.449805295506685,0.7885636508832595,0.7591105421556561,0.6691894819168008,0.4922265849435351,98.4691173610181,0.5899575019999388
DC-F,SBVCHP_SBORC,R1233zd(E),R134a,0.08283039018506315,44.782054404975135,0.06041688494546257,125.61768500449948,79.56023460520476,46.05745039929472,75.0,25.0,19.784525926073314,5.616947732845691,7.38545284335276,6.857063957330169,0.6525409519318219,0.6707016237716691,0.6792644487874174,0.5030694653950339,100.61768500449948,0.7907181983132183
DC-F,SBVCHP_SBORC,R1233zd(E),R134a,0.4350007540327392,18.325027103002775,0.11844664226952441,96.49639975131817,32.3758003157392,64.12059943557897,75.0,25.0,9.009205732310736,9.038848030874988,5.404803530928327,24.47520589454036,0.6795801577132646,0.8436238348969525,0.5236397088574001,0.300664086948264,71.49639975131817,0.4528311974917631
DC-F,SBVCHP_SBORC,R1233zd(E),R134a,0.19799098350025174,44.276936944817166,0.09005569500439102,127.11226913262463,78.72430051989906,48.38796861272557,75.0,25.0,10.496769594008573,5.05755561255791,1.944102030833684,26.214146567095735,0.8189090315493663,0.7915625662482646,0.6734183098772533,0.5103428762800344,102.11226913262463,0.7709582911887992
DC-F,SBVCHP_SBORC,R1233zd(E),R134a,0.4317220665144637,22.5125962728324,0.10436526711589945,105.47590636290286,39.88244430610793,65.59346205679493,75.0,25.0,6.624804079796073,8.139298000942043,8.51339749538791,29.576079932874432,0.7110598077112004,0.8060737673564234,0.6885185799880063,0.3786960313994227,80.47590636290286,0.4955824184975271
DC-F,SBVCHP_SBORC,R1233zd(E),R134a,0.49514187964568984,14.213160156532362,0.12254811075196578,103.70530273386996,25.23167120592563,78.47363152794432,75.0,25.0,6.759490596599053,4.840264738237622,8.592076025395176,14.407362056286852,0.7708465536453057,0.795777499165325,0.6361897453605473,0.3647187894179454,78.70530273386996,0.32058413257417606
DC-F,SBVCHP_SBORC,R1233zd(E),R152a,0.37443283592953686,28.160860363388597,0.17692616120482368,116.94792814606106,50.062303884469046,66.88562426159201,75.0,25.0,13.912176526189475,13.140719351986133,9.533765089824566,25.162744007423676,0.8324134538126426,0.831173780914148,0.5670590648004951,0.4562139570934754,91.94792814606106,0.5444636425623871
DC-F,SBVCHP_SBORC,R1233zd(E),R152a,0.12690212520551947,44.313420058599945,0.06785354389209497,126.02342812261321,78.75037848582646,47.27304963678675,75.0,25.0,14.07021705596666,12.444602397366522,9.801029528097471,22.325630174515013,0.788014459233567,0.8420093733975673,0.5084148123502376,0.505065300899169,101.02342812261321,0.7795258975991816
DC-F,SBVCHP_SBORC,R1233zd(E),R152a,0.4174712136751329,22.132583688746298,0.200305645722,117.6355776494111,39.43663326936139,78.19894438004971,75.0,25.0,13.61766841497716,12.374969411557196,7.903373252261237,26.343552010180577,0.7986819244275888,0.798691707656884,0.6237325378163554,0.4602505725259235,92.6355776494111,0.4257180045728585
DC-F,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.2772813079408242,32.840744982029705,0.16079931590664165,122.68879364990487,58.452875608433594,64.23591804147128,75.0,25.0,14.59836269302312,6.460663041612177,8.149732036831892,12.571265589364925,0.7987653081347649,0.8092295821113834,0.6138963804191071,0.4881705656107394,97.68879364990487,0.5983580452218075
DC-F,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.4370663761507307,20.15405672293904,0.15345766876443986,110.21461502461099,35.81119380380963,74.40342122080136,75.0,25.0,9.150925640328651,14.05623225524491,5.649401052185817,26.694029726467022,0.7704033840966665,0.7952212646253949,0.6918920511084258,0.4132461903916434,85.21461502461099,0.4202470878201695
DC-F,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.3946301747751826,24.9159997299593,0.1435361551249952,111.6569191202986,44.23147043874074,67.42544868155785,75.0,25.0,9.918762796646337,9.952329826277186,6.417687077608883,20.33232963973539,0.7942657976949078,0.7939207495065859,0.6610965752841627,0.42301202826528883,86.6569191202986,0.5104205283058572
DC-F,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.3514683459034904,32.63838531437551,0.12433022819855419,126.01733589373156,58.18554911679428,67.83178677693728,75.0,25.0,7.0031979079201,4.326283133608273,4.222805655489861,23.88366859494148,0.7630313859611221,0.7773918729765412,0.6075524768041245,0.5050354520079691,101.01733589373156,0.5759956803652438
DC-F,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.42962376913675,21.122964907654932,0.15513850927753992,104.62591012675682,37.42321390114218,67.20269622561464,75.0,25.0,10.781961628511372,3.1473844568677167,6.114239909740435,24.03324600365856,0.7564147060694452,0.8472174945183426,0.6709754683765994,0.37206369232822845,79.62591012675682,0.46998789516588263
DC-F,SBVCHP_SRORC,R1233zd(E),R1234ze(E),0.1801706495933315,36.18008498875468,0.11700227217608831,122.54593521650668,64.3303584826348,58.215576733871885,75.0,25.0,17.564278561006745,5.884020307251983,8.984480113769736,15.179578110138502,0.709576079548549,0.7563785643886397,0.5054918581945059,0.48742097875197754,97.54593521650668,0.6594878437512672
DC-F,SBVCHP_SRORC,R1233zd(E),R227ea,0.35536820977377587,29.406407626642245,0.14863571410820103,111.86868635968226,52.13484496424505,59.73384139543721,75.0,25.0,12.801706934317677,10.694410649799838,2.8798784437826632,27.399978511492375,0.8212568192084168,0.7964939556458791,0.6764582999880312,0.4244186012785599,86.86868635968226,0.6001569397329118
DC-F,SBVCHP_SRORC,R1233zd(E),R227ea,0.45131719761229594,18.716992588563393,0.24396952260084465,112.28269599187567,33.30674249312453,78.97595349875114,75.0,25.0,17.324602685417183,9.374765040633253,7.66048611062346,27.185601213282155,0.7860033510942642,0.8385070522412176,0.6130032208294403,0.42714876721207107,87.28269599187567,0.3815961699467297
DC-F,SBVCHP_SRORC,R1233zd(E),R227ea,0.36152202479750384,26.422821525954745,0.15728454475408926,114.66122645798919,46.94881028255189,67.7124161754373,75.0,25.0,10.263810960300212,3.6012986074681237,6.852033296970259,15.820799853578256,0.719965215357389,0.8397272532622027,0.5799459103034008,0.4423453484274217,89.66122645798919,0.5236244487972711
DC-F,SBVCHP_SRORC,R1233zd(E),R227ea,0.3675718439174195,32.7135598188183,0.11839880435194836,123.76299384673149,58.25754137183669,65.50545247489481,75.0,25.0,6.60205996756544,9.982519072896373,3.1765397744042048,21.418486152374058,0.8388073050118878,0.7278600218132631,0.623597066562792,0.49373750174489345,98.76299384673149,0.5898721687421253
DC-F,SBVCHP_SRORC,R1233zd(E),R227ea,0.2705334598560109,36.15210064870771,0.12864436888926223,118.15579792427555,64.15342607329704,54.002371850978506,75.0,25.0,13.472468906665437,10.949028882948138,3.1376953184543144,26.6115590819718,0.7910196403149752,0.8456688818295072,0.5210972487112746,0.4632647552367703,93.15579792427555,0.688668096917017
DC-F,SBVCHP_SRORC,R1233zd(E),R227ea,0.3908471409893015,23.01435161028652,0.21027575365373866,116.45911879796448,40.972866514900275,75.4862522830642,75.0,25.0,15.885264687013311,13.725241256357775,2.94937483464332,20.16867770864558,0.7964153696341528,0.7752566342859311,0.6313379321946038,0.45330765639179976,91.45911879796448,0.4479910483875356
DC-F,SBVCHP_SRORC,R1233zd(E),R227ea,0.44446835512739685,21.204604602938524,0.10372942109015357,108.09569298720423,37.627167545339674,70.46852544186456,75.0,25.0,5.640484560799579,4.46772833283369,9.585887029699126,10.39440110703869,0.7977224434902062,0.8053974302507196,0.628113695564646,0.39828409629245864,83.09569298720423,0.45281730246998264
DC-F,SBVCHP_SRORC,R1233zd(E),R227ea,0.2916488597334194,32.92995552590075,0.09792329078493468,125.30571266858279,58.68087363077107,66.62483903781171,75.0,25.0,5.83987466151027,14.522660683887695,7.861901600521675,21.638177960127887,0.7387983523296215,0.6699120885080083,0.7431650349754257,0.5015239045735754,100.30571266858279,0.585020255273564
DC-F,SBVCHP_SRORC,R1233zd(E),R227ea,0.20770220458622224,35.556838991816385,0.13119635164928006,120.62085285700972,63.177847768529105,57.44300508848062,75.0,25.0,16.572639441389747,4.939286468983254,2.4710556528925633,16.775524357078453,0.6509490376755718,0.7042646187878764,0.7282855823202737,0.4771015055181593,95.62085285700972,0.6607120296553357
DC-F,SBVCHP_SRORC,R1233zd(E),R227ea,0.19775509492456145,40.92816756337016,0.07724656413717364,126.05006022334547,72.79574350261271,53.25431672073276,75.0,25.0,7.297664051728062,4.397259501331737,4.964535112705426,11.226193481652526,0.8274246714696397,0.7349997077163564,0.6918027236469145,0.5051957426894381,101.05006022334547,0.7203928759836088
DC-F,SBVCHP_SRORC,R1233zd(E),R227ea,0.24380964646065462,39.527028773714484,0.11533515618764775,122.88644864385557,70.228986209227,52.65746243462857,75.0,25.0,10.393603756222339,10.144295068241368,1.1930674272113357,11.028029555442764,0.7294829357127033,0.8183595047723817,0.6331524298687292,0.4892040656013875,97.88644864385557,0.7174536126521875
DC-F,SBVCHP_SRORC,R1233zd(E),R134a,0.32008728474721776,32.42363396444724,0.19711780503514784,122.32914172875194,57.708090038118115,64.62105169063382,75.0,25.0,18.319576899935786,11.629588753623759,8.776089591621618,20.975886782531155,0.792493669092255,0.8223691660139925,0.7280993166588372,0.48627924677127266,97.32914172875194,0.5929168696354651
DC-F,SBVCHP_SRORC,R1233zd(E),R134a,0.300576123516164,32.62448756100142,0.1803911475136504,123.4691173610181,58.092594502445046,65.37652285857305,75.0,25.0,17.104744301446836,3.2501296050994912,6.705096284869588,28.449805295506685,0.7885636508832595,0.7591105421556561,0.6691894819168008,0.4922265849435351,98.4691173610181,0.5899575019999388
DC-F,SBVCHP_SRORC,R1233zd(E),R134a,0.33441175591703676,29.540860329081102,0.1712628780971732,121.26927139097597,52.597936370276024,68.67133502069996,75.0,25.0,12.791658891593936,13.71645808556376,6.90568099032007,23.56472209553631,0.689508080721741,0.7691182667366046,0.7099068473320744,0.48062347125349836,96.26927139097597,0.5463626722244666
DC-F,SBVCHP_SRORC,R1233zd(E),R134a,0.24676685158475603,36.16477669033891,0.12682795775230477,126.96511004480615,64.43347399239018,62.531636052415976,75.0,25.0,11.048234738409281,7.901268106440092,5.796561050375261,10.237944443254312,0.8130714589221211,0.694522666522923,0.595895618743987,0.5096361885155748,101.96511004480615,0.6319168778818207
DC-F,SBVCHP_SRORC,R1233zd(E),R134a,0.4255741604630302,22.5125962728324,0.10287906127416072,105.47590636290286,39.88244430610793,65.59346205679493,75.0,25.0,6.624804079796073,8.139298000942043,8.51339749538791,29.576079932874432,0.7110598077112004,0.8060737673564234,0.6885185799880063,0.3786960313994227,80.47590636290286,0.4955824184975271
DC-F,SBVCHP_SRORC,R1233zd(E),R134a,0.5049626690201608,14.213160156532362,0.12497876595082635,103.70530273386996,25.23167120592563,78.47363152794432,75.0,25.0,6.759490596599053,4.840264738237622,8.592076025395176,14.407362056286852,0.7708465536453057,0.795777499165325,0.6361897453605473,0.3647187894179454,78.70530273386996,0.32058413257417606
DC-F,SRVCHP_SBORC,R1233zd(E),R1234ze(E),0.37585317039759514,32.840744982029705,0.18695472541810995,122.68879364990487,58.452875608433594,64.23591804147128,75.0,25.0,14.59836269302312,6.460663041612177,8.149732036831892,12.571265589364925,0.7987653081347649,0.8092295821113834,0.6138963804191071,0.4881705656107394,97.68879364990487,0.5983580452218075
DC-F,SRVCHP_SBORC,R1233zd(E),R1234ze(E),0.32917308331285255,34.40195519987656,0.17444977871897008,125.12058044670857,61.271991889552744,63.84858855715583,75.0,25.0,14.266481653659188,12.376067554445921,1.6640777641661941,12.800561809965599,0.6765620828665624,0.7572970887718445,0.7440278275849713,0.5006021761268791,100.12058044670857,0.611981988280283
DC-F,SRVCHP_SBORC,R1233zd(E),R1234ze(E),0.22081234122819243,42.151639369086084,0.11135082573111207,123.73293226055326,74.87113432192112,48.86179793863214,75.0,25.0,14.476021790875258,7.7434701799311245,1.4879501335764955,8.5195487806915,0.7300228551981274,0.8194841459491993,0.7088465378526019,0.49358335810333787,98.73293226055326,0.7583197683660243
DC-F,SRVCHP_SBORC,R1233zd(E),R1234ze(E),0.4402625764957759,24.9159997299593,0.14850571229865414,111.6569191202986,44.23147043874074,67.42544868155785,75.0,25.0,9.918762796646337,9.952329826277186,6.417687077608883,20.33232963973539,0.7942657976949078,0.7939207495065859,0.6610965752841627,0.42301202826528883,86.6569191202986,0.5104205283058572
DC-F,SRVCHP_SBORC,R1233zd(E),R1234ze(E),0.28445149962695393,40.23263932560496,0.12892008650614709,126.79309933966685,71.59558495970248,55.197514379964375,75.0,25.0,10.818912306848318,4.5987779472517225,2.096047019790853,8.471461022032702,0.6527106284935801,0.8026835649468226,0.5316800655335309,0.5088075682501992,101.79309933966685,0.7033441895781144
DC-F,SRVCHP_SBORC,R1233zd(E),R1234ze(E),0.4217870046277606,32.63838531437551,0.1285545353220815,126.01733589373156,58.18554911679428,67.83178677693728,75.0,25.0,7.0031979079201,4.326283133608273,4.222805655489861,23.88366859494148,0.7630313859611221,0.7773918729765412,0.6075524768041245,0.5050354520079691,101.01733589373156,0.5759956803652438
DC-F,SRVCHP_SBORC,R1233zd(E),R1234ze(E),0.46970237534693654,21.122964907654932,0.15935627197666374,104.62591012675682,37.42321390114218,67.20269622561464,75.0,25.0,10.781961628511372,3.1473844568677167,6.114239909740435,24.03324600365856,0.7564147060694452,0.8472174945183426,0.6709754683765994,0.37206369232822845,79.62591012675682,0.46998789516588263
DC-F,SRVCHP_SBORC,R1233zd(E),R1234ze(E),0.2658155566151456,36.18008498875468,0.15281892673346278,122.54593521650668,64.3303584826348,58.215576733871885,75.0,25.0,17.564278561006745,5.884020307251983,8.984480113769736,15.179578110138502,0.709576079548549,0.7563785643886397,0.5054918581945059,0.48742097875197754,97.54593521650668,0.6594878437512672
DC-F,SRVCHP_SBORC,R1233zd(E),R1234ze(E),0.24766156659138652,41.149717425378576,0.12862210203088278,124.51014655361749,73.13504200145066,51.37510455216683,75.0,25.0,15.909125259484615,12.552868686807402,3.789121680746549,13.311728721240662,0.7928622522975162,0.760429442873267,0.6900664888559758,0.4975386758870937,99.51014655361749,0.7349506008620382
DC-F,SRVCHP_SBORC,R1233zd(E),R227ea,0.45282463308718085,18.716992588563393,0.2342423993810153,112.28269599187567,33.30674249312453,78.97595349875114,75.0,25.0,17.324602685417183,9.374765040633253,7.66048611062346,27.185601213282155,0.7860033510942642,0.8385070522412176,0.6130032208294403,0.42714876721207107,87.28269599187567,0.3815961699467297
DC-F,SRVCHP_SBORC,R1233zd(E),R227ea,0.17494509800170763,42.24381104370194,0.09539884313885122,118.80789680639478,74.8702477638087,43.937649042586074,75.0,25.0,17.789914659350273,8.913359356988437,5.179327063509783,8.013592436810734,0.7568439589657613,0.8251916390860277,0.5415998508441231,0.46699583188404287,93.80789680639478,0.7981230825196891
DC-F,SRVCHP_SBORC,R1233zd(E),R227ea,0.23232366858653408,42.1443805800661,0.10754220557239143,119.99104443961154,74.73452821139486,45.25651622821668,75.0,25.0,13.35929369234285,11.539030382521872,4.123870792767689,17.960734109406467,0.7168087665239044,0.8216638167741539,0.6901478809820014,0.47363459055567714,94.99104443961154,0.7867534108323831
DC-F,SRVCHP_SBORC,R1233zd(E),R227ea,0.3698051795462149,36.15210064870771,0.16328694326584195,118.15579792427555,64.15342607329704,54.002371850978506,75.0,25.0,13.472468906665437,10.949028882948138,3.1376953184543144,26.6115590819718,0.7910196403149752,0.8456688818295072,0.5210972487112746,0.4632647552367703,93.15579792427555,0.688668096917017
DC-F,SRVCHP_SBORC,R1233zd(E),R227ea,0.506467136063446,21.204604602938524,0.10236158056497684,108.09569298720423,37.627167545339674,70.46852544186456,75.0,25.0,5.640484560799579,4.46772833283369,9.585887029699126,10.39440110703869,0.7977224434902062,0.8053974302507196,0.628113695564646,0.39828409629245864,83.09569298720423,0.45281730246998264
DC-F,SRVCHP_SBORC,R1233zd(E),R227ea,0.2864117760962103,41.875627682997916,0.08794142048491006,121.32136842845435,74.30627931397314,47.01508911448121,75.0,25.0,8.107703557646962,9.647291429799859,1.1680655918130243,13.275354907828925,0.8344489297356319,0.7432020545607323,0.5386008732436929,0.4809043848132304,96.32136842845435,0.7714412754545363
DC-F,SRVCHP_SBORC,R1233zd(E),R227ea,0.2885856014804639,35.556838991816385,0.163341605030795,120.62085285700972,63.177847768529105,57.44300508848062,75.0,25.0,16.572639441389747,4.939286468983254,2.4710556528925633,16.775524357078453,0.6509490376755718,0.7042646187878764,0.7282855823202737,0.4771015055181593,95.62085285700972,0.6607120296553357
DC-F,SRVCHP_SBORC,R1233zd(E),R227ea,0.388294490626782,40.92816756337016,0.1152393301623719,126.05006022334547,72.79574350261271,53.25431672073276,75.0,25.0,7.297664051728062,4.397259501331737,4.964535112705426,11.226193481652526,0.8274246714696397,0.7349997077163564,0.6918027236469145,0.5051957426894381,101.05006022334547,0.7203928759836088
DC-F,SRVCHP_SBORC,R1233zd(E),R227ea,0.3795326373245985,39.527028773714484,0.15238546012445453,122.88644864385557,70.228986209227,52.65746243462857,75.0,25.0,10.393603756222339,10.144295068241368,1.1930674272113357,11.028029555442764,0.7294829357127033,0.8183595047723817,0.6331524298687292,0.4892040656013875,97.88644864385557,0.7174536126521875
DC-F,SRVCHP_SBORC,R1233zd(E),R134a,0.3857142070830246,32.42363396444724,0.21795489067508095,122.32914172875194,57.708090038118115,64.62105169063382,75.0,25.0,18.319576899935786,11.629588753623759,8.776089591621618,20.975886782531155,0.792493669092255,0.8223691660139925,0.7280993166588372,0.48627924677127266,97.32914172875194,0.5929168696354651
DC-F,SRVCHP_SBORC,R1233zd(E),R134a,0.4382788137539479,22.23505776305483,0.18928434611637956,114.84144785558945,39.56604177542812,75.27540608016133,75.0,25.0,13.301511469603142,11.54082140403662,9.063840851157204,15.504526981838861,0.8476114804206858,0.7827989885775057,0.5539123188372693,0.4434640002644473,89.84144785558945,0.4403985323013306
DC-F,SRVCHP_SBORC,R1233zd(E),R134a,0.3622684786005749,32.62448756100142,0.1973831008672226,123.4691173610181,58.092594502445046,65.37652285857305,75.0,25.0,17.104744301446836,3.2501296050994912,6.705096284869588,28.449805295506685,0.7885636508832595,0.7591105421556561,0.6691894819168008,0.4922265849435351,98.4691173610181,0.5899575019999388
DC-F,SRVCHP_SBORC,R1233zd(E),R134a,0.114387126565427,44.782054404975135,0.0721489182284362,125.61768500449948,79.56023460520476,46.05745039929472,75.0,25.0,19.784525926073314,5.616947732845691,7.38545284335276,6.857063957330169,0.6525409519318219,0.6707016237716691,0.6792644487874174,0.5030694653950339,100.61768500449948,0.7907181983132183
DC-F,SRVCHP_SBORC,R1233zd(E),R134a,0.244557060326932,44.276936944817166,0.09532708501425036,127.11226913262463,78.72430051989906,48.38796861272557,75.0,25.0,10.496769594008573,5.05755561255791,1.944102030833684,26.214146567095735,0.8189090315493663,0.7915625662482646,0.6734183098772533,0.5103428762800344,102.11226913262463,0.7709582911887992
DC-F,SRVCHP_SBORC,R1233zd(E),R134a,0.5400514336466187,14.213160156532362,0.12366484660691386,103.70530273386996,25.23167120592563,78.47363152794432,75.0,25.0,6.759490596599053,4.840264738237622,8.592076025395176,14.407362056286852,0.7708465536453057,0.795777499165325,0.6361897453605473,0.3647187894179454,78.70530273386996,0.32058413257417606
DC-F,SRVCHP_SBORC,R1233zd(E),R152a,0.41097911151551214,28.160860363388597,0.1825025356326213,116.94792814606106,50.062303884469046,66.88562426159201,75.0,25.0,13.912176526189475,13.140719351986133,9.533765089824566,25.162744007423676,0.8324134538126426,0.831173780914148,0.5670590648004951,0.4562139570934754,91.94792814606106,0.5444636425623871
DC-F,SRVCHP_SBORC,R1233zd(E),R152a,0.15068038645494833,44.313420058599945,0.07230892834528047,126.02342812261321,78.75037848582646,47.27304963678675,75.0,25.0,14.07021705596666,12.444602397366522,9.801029528097471,22.325630174515013,0.788014459233567,0.8420093733975673,0.5084148123502376,0.505065300899169,101.02342812261321,0.7795258975991816
DC-F,SRVCHP_SBORC,R1233zd(E),R152a,0.45235860934232613,22.132583688746298,0.20579853748580076,117.6355776494111,39.43663326936139,78.19894438004971,75.0,25.0,13.61766841497716,12.374969411557196,7.903373252261237,26.343552010180577,0.7986819244275888,0.798691707656884,0.6237325378163554,0.4602505725259235,92.6355776494111,0.4257180045728585
DC-F,SRVCHP_SRORC,R1233zd(E),R1234ze(E),0.3578412476097991,32.840744982029705,0.17799533823113367,122.68879364990487,58.452875608433594,64.23591804147128,75.0,25.0,14.59836269302312,6.460663041612177,8.149732036831892,12.571265589364925,0.7987653081347649,0.8092295821113834,0.6138963804191071,0.4881705656107394,97.68879364990487,0.5983580452218075
DC-F,SRVCHP_SRORC,R1233zd(E),R1234ze(E),0.4691336455572573,20.4004233740342,0.18432659406962537,123.30758843229181,36.469213869847664,86.83837456244414,75.0,25.0,9.843561011049353,3.5715089696097926,8.882613532577205,10.969443368370406,0.8318760542215395,0.7413717553161662,0.6847395314846805,0.4913922638389517,98.30758843229181,0.3709704861183265
DC-F,SRVCHP_SRORC,R1233zd(E),R1234ze(E),0.4344787989493001,24.9159997299593,0.14655477653856103,111.6569191202986,44.23147043874074,67.42544868155785,75.0,25.0,9.918762796646337,9.952329826277186,6.417687077608883,20.33232963973539,0.7942657976949078,0.7939207495065859,0.6610965752841627,0.42301202826528883,86.6569191202986,0.5104205283058572
